"sampleID","read_count","d_Eukaryota","p_Proteobacteria","c_Clostridia","o_Micrococcales","f_Carnobacteriaceae","f_Corynebacteriaceae","f_Enterobacteriaceae","f_Lachnospiraceae","f_Mycoplasmataceae","f_Neisseriaceae","f_Pasteurellaceae","f_Peptostreptococcaceae","f_Prevotellaceae","g_Acinetobacter","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Alistipes","g_Alloprevotella","g_Anaerococcus","g_Anaeroglobus","g_Arcanobacterium","g_Bacteroides","g_Bulleidia","g_Campylobacter","g_Citrobacter","g_Corynebacterium","g_Cupriavidus","g_Delftia","g_Dialister","g_Enterobacter","g_Enterococcus","g_Ezakiella","g_Facklamia","g_Finegoldia","g_Fusobacterium","g_Gallicola","g_Gemella","g_Granulicatella","g_Haemophilus","g_Howardella","g_Jonquetella","g_Klebsiella","g_Kluyvera","g_Kocuria","g_Lachnoclostridium","g_Lactobacillus","g_Lactococcus","g_Lawsonella","g_Megasphaera","g_Micrococcus","g_Mobiluncus","g_Mogibacterium","g_Moryella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Parvimonas","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phascolarctobacterium","g_Porphyromonas","g_Prevotella","g_Propionimicrobium","g_Proteus","g_Ralstonia","g_Rothia","g_Sneathia","g_Solobacterium","g_Sphingomonas","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Sutterella","g_Ureaplasma","g_Varibaculum","g_Variovorax","g_Veillonella","Atopobium_deltae","Atopobium_minutum","Atopobium_vaginae","Gardnerella_vaginalis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_iners","Lactobacillus_jensenii","Prevotella_amnii","Prevotella_bivia","Prevotella_buccalis","Prevotella_colorans","Prevotella_disiens","Prevotella_timonensis","Sneathia_amnii","Sneathia_sanguinegens"
"SRR2915473",5812,0,0,32,0,0,0,0,0,0,0,0,0,1614,0,0,0,85,0,0,27,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,5,0,0,0,639,0,0,0,0,2351,0,0,0,0,43,0,0,0,0,216,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2915474",6755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,6643,0,0,0,0,0,0,0,0,0
"SRR2915475",7098,0,82,72,0,0,0,0,7,5,0,0,3,470,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,0,0,393,0,0,0,0,0,5,0,0,34,0,17,3,0,0,470,0,0,0,0,48,0,0,0,0,3,0,0,0,0,0,0,0,3320,0,0,0,0,2519,0,8,0,0,0,0,0,44,0
"SRR2915476",8141,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6758,0,0,0,0,0,0,0,0,0
"SRR2915477",5636,0,0,760,0,0,113,0,76,0,0,0,0,1664,0,0,0,0,0,0,40,0,0,0,5,2,0,113,0,0,18,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,247,0,27,0,8,0,0,0,0,13,0,0,0,0,9,1664,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,365,0,0,0,0,0,0,0
"SRR2915478",11604,3,396,399,0,0,1458,0,5,0,5,0,0,440,0,0,0,3,0,0,202,0,5,0,0,0,0,1458,0,0,0,0,20,11,17,24,0,4,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,4,0,5,0,0,0,0,0,98,0,0,9,440,0,377,0,0,30,0,0,215,3,2219,0,0,6,8,0,0,0,19,3675,0,0,0,315,4,0,0,0,0,0,0,20,0
"SRR2915479",9961,0,0,67,0,0,20,0,0,11,0,0,0,63,0,0,0,0,0,0,20,0,0,0,0,5,0,20,0,0,7,0,0,0,0,10,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6,63,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,9726,28,0,0,0,0,0,0,0,0,3,0,0,0,0
"SRR2915480",9049,0,6,49,0,0,0,0,10,0,0,0,10,68,0,0,0,8,0,8,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,7226,0,0,487,0,0,3,0,0,0,0,0,16,0,0,10,0,164,60,0,0,0,0,20,5,0,4,0,9,0,0,0,0,0,0,0,854,0,0,0,0,7209,0,51,0,0,0,0,9,0,0
"SRR2915481",6830,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6815,0,0,0,0,0,0,0,0,0
"SRR2915482",9250,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,9138,0,0,0,0,0,0,0,0,0
